county,candidate,votes,fips
Marion,Brian Carroll,174,18097
Marion,Christopher Stried,1,18097
Marion,Deborah Rouse,1,18097
Marion,Donald J. Trump,134175,18097
Marion,Howie Hawkins,254,18097
Marion,James L Johnson Jr.,0,18097
Marion,Jo Jorgensen,7228,18097
Marion,Joe Schriner,4,18097
Marion,Joseph R. Biden,247772,18097
Marion,Kasey Wells,0,18097
Marion,Mitchell Williams,1,18097
Marion,Randall F,0,18097
Marion,Shawn Howard,3,18097
Marion,Valerie Mccray,6,18097
Marshall,Abram Loeb,0,18099
Marshall,Brian Carroll,5,18099
Marshall,Christopher Stried,0,18099
Marshall,Deborah Rouse,0,18099
Marshall,Donald J. Trump,13844,18099
Marshall,Howie Hawkins,4,18099
Marshall,James L Johnson Jr.,0,18099
Marshall,Jo Jorgensen,362,18099
Marshall,Joe Schriner,0,18099
Marshall,Joseph R. Biden,5712,18099
Marshall,Kasey Wells,0,18099
